	Hhip.rep1	Hhip.rep2	Hhip.rep3	Ednrb.rep1	Ednrb.rep2	Ednrb.rep3	Myocd.rep1	Myocd.rep2	Myocd.rep3	Ltbp1.rep1	Ltbp1.rep2	Ltbp1.rep3
Ctrl-TGFb	1.224988662	0.816334086	0	1.04830425	0.953921536	0.282247391	1.093562058	0.914442845	0.517034913	1.172290285	0.909984797	0.937412407
Ctrl+TGFb	2.495467905	3.205462356	3.379621329	8.790713763	5.740269377	5.084145954	9.90906543	6.009157195	9.288067717	9.574542561	8.25780434	17.52301451
APOE	0.304441749	1.244828131	1.246645303	0.207794388	1.231996368	1.403740788	0	4.193213697	2.678752983	6.242225777	12.30445644	13.9593259
CHMP1A	0.295695089	1.401416975	0	0.181737195	0.242738009	0.24696033	0.189746458	0.346466507	0.593479722	0.245126634	0.605603781	0.569959699
CYP1B1	0	0.672838994	0.76901679	0.308305257	0.785647996	0.346024091	2.186130807	1.502059495	1.373208429	4.634125455	3.638066067	5.293929649
ZNF700	4.161092532	3.163974801	1.522686452	0.562799108	1.637128771	0.834406899	1.407139723	2.517014679	2.855384132	16.04211424	8.009873219	29.23175262
PTCH1	1.377529936	1.322130302	0.76659721	1.089630816	1.731595645	3.453599334	1.635456062	1.999221083	0.800170052	0.979231599	7.331155703	16.61449189
EDNRB	0	0.742752147	0.714844073	0.270699895	0.174588328	0.173680934	2.955376894	4.157322212	2.916987586	10.66429502	7.844546617	6.042927379
HOPX	0	2.278290823	1.574399778	1.844525019	2.014798808	2.937245645	5.480815196	1.520228501	4.308824937	24.54754452	21.50136518	27.88358613
PPP1R13L	2.976711033	0.523995199	0.168654184	2.614952505	1.505544643	0.742277711	3.791194256	3.318966478	1.526562484	21.5138635	4.233716761	10.76696963
ZNF451	1.739392914	5.272900748	0.533086983	1.409641744	2.913669847	0.685969777	7.184171079	7.002636069	1.530302048	12.78324566	37.50029972	4.471680501
TBX3	0.285049821	0.210624121	0	0.135092162	0.06888952	0.090088485	0.066338333	0	0	0.697731837	1.218105332	0.670498079
PKNOX1	0.84081829	1.471645582	1.783664111	0.496823285	0.336546066	2.10483379	1.179552804	0	1.660709132	5.286047666	6.211114108	20.73286589
RGMA	2.716831052	3.036568954	1.708311852	4.472286646	5.025273525	4.663611878	0.067403927	5.212569333	3.453035077	15.3778458	13.65633982	8.804619322
ZNF263	3.393986346	1.955408041	2.622762737	2.372923931	2.053152893	27.82068778	18.15969369	9.090512596	0.002329174	14.22819593	7.37529513	19.9264726
RNF168	1.257837115	1.212669106	0.367279497	1.644205436	0.826192759	0.473965819	0.0052375	0	0	13.8192778	15.36764196	13.54294703
GREM1	1.478068646	2.938675947	0.86790191	0.798288015	0.355760345	0.818449259	3.153854489	1.282661263	1.762057596	7.413679205	13.14202417	4.608702169
GREM2	1.328396418	2.539157938	1.32293958	2.544878626	1.549244816	3.101489229	6.465839423	3.344887486	3.418377786	11.18925307	7.936850105	11.70231489
