	Col1a1.rep1	Col1a1.rep2	Col1a1.rep3	Col4a1.rep1	Col4a1.rep2	Col4a1.rep3	Col4a2.rep1	Col4a2.rep2	Col4a2.rep3	Col5a3.rep1	Col5a3.rep2	Col5a3.rep3	Col7a1.rep1	Col7a1.rep2	Col7a1.rep3
Ctrl-TGFb	0.84	1.03	1.15	0.9138964	1.0081554	1.0853643	0.91	1.02	1.08	0.735206444	1.100890803	1.235510531	0.875844724	0.981533057	1.163236313
Ctrl+TGFb	3.04	3.11	2.57	5.6142429	6.7278136	6.3050151	2.31	3.58	3.09	3.035295437	3.129870525	3.062557173	3.221786766	2.681903702	2.432325468
APOE	5.75	4.59	3.69	12.723868	17.604913	6.6330236	3.93	4.52	2.14	1.321474398	1.484529234	1.201341859	2.467794333	3.460637527	2.236545752
CHMP1A	0.72	1.4	1.02	0.9541939	1.1380964	1.1624578	0.63	0.57	0.74	1.042433043	2.770877418	1.121990384	0.284261242	0.503346813	0.353161202
CYP1B1	5.61	5.55	7.21	1.6783438	2.1628576	2.0776026	2.22	2.71	2.88	1.711004935	1.399127264	2.091015526	2.32667656	2.102943775	3.217641557
ZNF700	7.5	6.76	5.78	9.3810065	5.9715327	5.5236925	4.51	2.81	2.41	7.463055421	5.34894769	6.392801442	4.92746807	4.090741107	5.175585621
PTCH1	3.59	3.46	4.66	3.5023022	3.6946138	6.8586202	1.62	1.74	3.34	3.177098821	2.860311423	5.099817711	1.881411091	2.300950126	2.263181195
EDNRB	8.22	12	6.48	7.8788307	14.016838	7.8094883	3.77	4.91	5.33	4.341845978	7.321734874	4.561176714	4.048576868	5.366497908	2.420452036
HOPX	5.87	5.67	6.6	7.6817296	7.7294377	8.7410614	3	2.98	3.26	5.952008071	4.071277331	5.378656478	2.194392892	1.934297612	2.688096658
PPP1R13L	2.97	8.01	5.92	2.6558426	6.9777715	5.9032979	1.23	2.35	2.08	2.017970057	4.15319781	3.140263068	1.356178018	3.127682081	2.051822732
ZNF451	8.6	14.18	5.76	11.669267	18.198521	6.881553	5.08	5.86	2.92	6.547085035	12.56231932	5.085051616	4.761059443	8.338114664	4.344631749
TBX3	2.34	2.14	2.27	0.5744507	0.480006	0.5363706	0.84	0.7	0.87	2.267300045	2.282647251	2.120465833	1.42736489	1.403288475	1.398030846
PKNOX1	8.98	10.57	9.91	7.6512287	8.7543093	7.4217093	3.55	3.59	3.03	6.065704414	5.810962484	4.345275765	4.736218557	4.994922005	4.581968761
RGMA	6.3	5.65	5.69	7.5980199	4.8236176	4.7464586	3.33	2.23	2.14	3.309619827	2.406230784	1.940450654	4.121172821	3.907355826	4.229748189
ZNF263	3.51	3.89	4.74	3.8932762	4.6554969	6.241966	1.57	1.42	2.31	1.452527837	1.806652318	2.211442348	1.811853756	2.002858019	1.955065974
RNF168	2.92	1.97	2.14	2.7887799	2.1999632	2.2337763	1.35	0.96	1.02	1.33768459	0.745320111	0.967534181	1.880045365	1.171740465	1.975147789
GREM1	5.09	5.23	6.1	6.1081561	6.5764103	8.1969484	2	2.55	2.83	3.286973155	3.315085213	4.517153943	3.09753514	2.719088032	3.514242425
GREM2	6.33	6.8	8.33	6.1001199	7.0474406	8.126922	3.87	3.64	3.74	3.465792827	4.557281861	3.415858278	3.257621384	3.898738606	4.861970096
